Prod_ID,Prod_Cat,User_ID,User_Province,Event,Clicks,Wishlist
TgM4SVyzDLCxW5D3EU9n,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
ToTOH2fixdfznJiWHC57,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
TwfWmORJsUZZVKSgoWrE,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
U4deGZmVLp4MSrbfukq5,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
UBAfTJMNye5pWPPYEXHj,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
UUy3EGYSGDzb6Md7e4On,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
UY5MSNvTSeHwqIfB9Les,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
UfmtbpnBWLT6TwhlGkBZ,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Uml7KVv2DumqipUgzdZm,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
UvocZZUFd9S92e4hBWdq,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
UydkubVYJtuudBMTt2cT,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
V0dB15bpcP3qdMAEGSMd,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
V57k93AyPVQ1aaSLK0lt,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
V60gYNlTaPY0ByfJXjpe,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
VHNuigiz12u0RFQHHxdT,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
VHZjifoy8j85X6gCZXAO,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
WK2rthVFmsf59GWBq794,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
WOKqhP20UhvXytiiXvEg,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
We4Ajg6rsjjc3tot3XVC,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
WrkvRTIIevVjTT9tpmsz,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
X3PgQ5r4QWWUkr9XB39b,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
XCxsD9Z17sKFbnojvytD,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
XRWXzB6CdsNmKeg0p7Rb,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
XS7elzHPRmcyghS17BpA,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
XjtwnfkvFh9g8ujzfeAp,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Y05g799uBqRgVY4bvege,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Y8T9KyoxS5dDSILkaCAV,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
YBDocENcW5JcLDpKta74,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
YJenr1pHLds7XCrhwiT9,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
YORCGQp2hleCXcjdECVm,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
YUmuvJL4Knt5tLYZ5ETM,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
YqmW8Tv01yDCWDGiWpor,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Z8uzg2z1V3g7vwsYgpVD,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
